tache,kind,idx,text
1,a,1,"Cher Hao,
Je t’écris pour te recommander de passer tes prochaines vacances à Toronto, au Canada, en été, parce que dans ta dernière lettre tu as mentionné que tu voulais découvrir un nouveau pays. Cette ville offre de nombreux sites qui valent le détour, comme la tour CN,  l’Université de Toronto et le Musée royal de l’Ontario. Nous pourrions y découvrir l’histoire et les cultures du Canada. En juillet, tu pourras aussi célébrer la fête du Canada avec ses feux d’artifice et ses concerts.
Si tu veux, je viendrai te chercher à l’aéroport et nous pourrons loger ensemble, car les hôtels du centre-ville sont chers.
Écris-moi si cette proposition t’intéresse, pour que je puisse mieux organiser ce voyage pour toi.
Bises,
Haoyan"
1,a,2,"Chers proches,
Je vous écris afin de vous proposer de passer un week-end avec moi le mois prochain. J’aimerais organiser une escapade au parc national de Banff le 5 mars.
Dans un premier temps, nous nous retrouverons devant mon appartement à 9 h du matin. Puis, nous nous rendrons sur place en transports en commun, notamment en métro et en bus, car c’est pratique et écologique.
En ce qui concerne les activités prévues, nous pourrons faire de la randonnée, du vélo et du ski. Le soir, nous passerons la nuit à l’hôtel Rose, qui propose des chambres confortables à un prix raisonnable.
N’hésitez pas à me dire si vous êtes disponibles.
À bientôt,
Haoyan"
1,a,3,"Cher Hao, 
Je t’écris pour te proposer de passer le week-end prochain chez moi. J’aimerais que nous pratiquions ensemble des activités sportives. 
Samedi, nous visiterons au centre sportif : nous pourrons faire plusieurs activités, par exemple le tennis, la natation et le yoga. Dimanche, nous ferons une promenade à Queens Park. 
Tu peux venir chez moi vendredi soir. Pendant le week-end, nous nous déplacerons en transports en commun, un choix à la fois pratique et écologique. 
Écris-moi dès que possible si tu es disponible, afin que je puisse réserver à l’avance. 
Haoyan"
1,a,4,"Cher Hao,
Je t’écris pour t’inviter à une rencontre avec un écrivain le 1er juillet, organisée par la bibliothèque de ma ville.
On se retrouvera d’abord devant l’Université de Toronto à 10h du matin. Nous visiterons la bibliothèque dans la matinée. Nous profiterons de cette journée en participant à plusieurs activités culturelles : une discussion avec l’écrivain, et peut-être des expositions. L’après-midi, nous pourrions aller au musée d’histoire en face de la bibliothèque. Si le temps le permet, nous pourrions aussi manger dans un restaurant chinois à Chinatown. Nous nous déplacerons en transports en commun, car c’est un moyen pratique et écologique.
Écris-moi si tu es disponible pour que je puisse faire des réservations à l’avance.
À bientôt,
Haoyan"
1,a,5,"Cher Hao, 
Je suis ravi que tu m’accompagnes demain au parc de loisir ! 
Je te donne les détails suivants : on se retrouvera d’abord devant la bibliothèque municipale à 9 h, puis nous prendrons le métro, un choix à la fois pratique et écologique. Nous arriverons au parc vers 9 h 30. Au programme, il y aura des montagnes russes, la grande roue, des maisons hantées et des spectacles. Nous pourrions déjeuner sur place. Nous quitterons le parc en fin d’après-midi, selon ton énergie. 
Écris-moi dès que possible pour me confirmer que tout est bon, afin que je puisse réserver les billets à l’avance. 
Haoyan"
1,a,6,"Cher Hao,
Je t'écris pour t'inviter à aller à un festival de films qui se situe à la bibliothèque municipale avec moi le 23 mai.
Comme il aura lieu de 10h à 18h, on se retrouvera d'abord devant mon appartement à 9h30 et nous nous déplacerons en transports en commun. Pendant ce festival, nous pourrons regarder gratuitement plusieurs films comme <Titanic>. Nous pourrions aussi rencontrer de nombreux acteurs célèbres.  
Le billet coûte seulement 20 dollars par personne. Je suis sûr que ce sera un événement inoubliable. Écris-moi vite si tu es disponible!
À bientôt,
Haoyan"
1,a,7,"Chers amis,
Je vous écris pour vous inviter à fêter l'anniversaire surprise de mon meilleur ami, Li Hua, ensemble le 5 mai.
La soirée se déroulera dans son restaurant préféré, Quanjude. Il se situe au centre-ville de Toronto, à côté du marché Byward. Comme il propose un grand stationnement gratuit juste devant l'entrée, vous pourrez venir en voiture.
On va tout préparer à l'avance : le menu, la décoration et les activités après le dîner. La fête aura lieu à 20h. Si vous voulez aider à l’organisation, arrivez à 4h de l’après-midi. Gardez bien le secret, parce que c'est un événement surprise !
Merci de me confirmer votre présence pour que je puisse réserver.
À bientôt,
Haoyan"
1,a,8,"Cher Hao,
Je t’écris pour te donner des nouvelles de mon nouveau logement.
J’ai déménagé dans mon nouvel appartement il y a un mois. C’est un deux-pièces situé au centre-ville de Toronto, dans un quartier calme et agréable. Il est entouré de nombreux commerces et services de proximité, comme des cafés, des supermarchés et des parcs.
L’endroit que je préfère est le café près de chez moi, car il est spacieux et bien décoré. J’aime y passer mes après-midis à lire ou à déguster un café. Mes voisins sont sympathiques et nous nous entendons bien.
Je t’invite à passer un week-end chez moi. Écris-moi si tu es disponible.
À bientôt,
Haoyan"
1,a,9,"Cher Ali,
Je t’écris pour te donner des nouvelles de mon nouveau travail.
J’ai commencé un poste dans une entreprise spécialisée dans la fabrication de meubles. Elle est située à côté d’IKEA,  au centre-ville de Vancouver, ce qui me permet d’y accéder facilement en transports en commun.
Je suis satisfait de mon nouvel environnement professionnel, car mes collègues et moi nous nous entendons bien. Ils m’aident à améliorer ma technique et je partage parfois mon déjeuner avec eux.
Je t’invite à passer à mon atelier afin de te faire une petite table. Écris-moi si tu es disponible.
À bientôt,
Haoyan"
1,a,10,"Cher Martin,
Je t’écris pour te donner de mes nouvelles. Je viens de commencer mes cours dans ma nouvelle université située au centre-ville de Vancouver. Le campus est bien équipé avec une bibliothèque, un centre sportif et une cantine, ce qui me permet de participer à différentes activités pendant mon temps libre: le tennis, la natation et  l’escalade.
Je suis satisfait de mon nouvel environnement, car mes professeurs, mes camarades et moi, nous nous entendons bien. Au début de mes cours, je n’étais pas capable de les comprendre à 100 % à cause des différences culturelles. Heureusement, ils étaient très patients et ils m’ont beaucoup aidé.
Et toi, as-tu des nouvelles à me donner ? Écris-moi !
Haoyan"
1,a,11,"Cher Hao, 
Je t’écris pour te donner des détails sur l’hôtel que j’ai repéré.
Je viens de trouver un hôtel parfait pour nos vacances et je vous recommande vivement de faire une réservation. Il se situe au centre-ville de Toronto, avec beaucoup de commerces et de services à proximité : des parcs, des supermarchés, un grand magasin, un cinéma, des écoles, un centre sportif et une bibliothèque. 
Le prix est d’environ 500 $ par nuit et par personne. Ce prix inclut l’accès à une salle de sport, un sauna et une piscine, ainsi que trois repas par jour. Il y a aussi un parking sur place. 
Si tu as d’autres questions, n’hésite pas à m’appeler. 
Haoyan"
1,a,12,"Salut Camille,
Je t’écris pour te répondre à ta question concernant le sport que je pratique maintenant.
Je viens de commencer mes cours de yoga dans le centre sportif situé au centre-ville de Toronto, près de mon nouvel appartement. Il est ouvert 24 heures sur 24 et 7 jours sur 7. Des cours encadrés par des entraîneurs professionnels sont disponibles à horaires fixes pour optimiser ton expérience sportive.
Le prix est d'environ 100 dollars par mois par personne. Ce prix inclut l’accès à la salle de sport, au sauna et à la piscine. Il y a aussi un parking sur place.
Si tu veux, je t’invite à prendre un cours d'essai, car le premier cours est offert.
Haoyan"
1,a,13,"Cher Hao,
Je t’écris pour te répondre à ta question concernant les cours de langue dans mon école. Je viens de commencer mes cours dans une école de langues au centre-ville de Toronto. Comme elle se trouve en plein centre, il est facile d’y accéder en transports en commun. L’école propose plusieurs programmes : l’anglais, le français, le chinois, etc. Les frais s’élèvent à 8 999 $ pour un programme de huit mois. L’ambiance est très bonne : mes camarades et moi, nous nous entendons bien. 
Si tu as d’autres questions, n’hésite pas à m’appeler. 
Haoyan"
1,a,14,"Bonjour,
Cette annonce a pour but de chercher un colocataire. Je viens d'emménager dans un appartement de deux pièces situé au centre-ville de Toronto, dans un quartier calme. L'appartement fait 800 pieds carrés et comprend deux chambres, une cuisine, un salon ainsi qu'une salle de bains. Le loyer s'élève à 2000 euros par mois par personne, charges comprises. Cet immeuble est entouré par plusieurs commodités publiques, comme les supermarchés et les restaurants.
J'aimerais que vous soyez une personne sérieuse, propre et non-fumeur. Je préférerais également que nous puissions avoir un rythme de vie similaire : je me lève vers 8h et me couche à minuit.
Si vous êtes intéressé, veuillez me contacter par courriel : 123@gmail.com.
Meilleures salutations,
Haoyan"
1,a,15,"Bonjour,
Je vous écris afin de demander votre aide pour chercher un logement. Je prévois de déménager au début mars au centre-ville de Nice, dans un quartier calme. L’appartement devrait faire au moins 800 pieds carrés. Il est préférable qu’il y ait deux chambres, une cuisine, un salon et une salle de bains. Je souhaiterais que le loyer soit entre 1500 et 1800 euros par mois, dépenses incluses. 
Si vous avez des nouvelles concernant le logement que je cherche, veuillez m’écrire.
Haoyan"
1,a,16,"Chers amis, 
Merci encore d’avoir accepté de m’aider pour mon déménagement, qui aura lieu le 5 mai. Mon nouvel appartement se situe au 1410 et se trouve à environ 20 minutes de mon ancien logement. 
On se retrouvera à 9 h devant mon ancien appartement. La durée prévue est d’environ 3 à 4 heures. Les tâches à réaliser seront les suivantes : porter les cartons, démonter/porter les meubles, protéger les objets fragiles, puis aider à la mise en place dans le nouvel appartement. 
Pour vous remercier, je vous invite à dîner dans votre restaurant préféré après le déménagement. 
À bientôt, 
Haoyan"
1,a,17,"Cher Hao,
Je t’écris pour solliciter ton assistance. Je voudrais changer quelques meubles et décorations anciennes dans mon appartement. Je voudrais aussi repeindre plusieurs pièces comme les deux chambres, le salon et la cuisine. J’aimerais changer la couleur des murs.
D’abord, j’aurais besoin que tu me conseilles sur les marques de peintures, les outils à préparer et les couleurs à choisir. J’ai un budget de 2000 dollars. Ensuite, comme les travaux sont prévus de se dérouler la première semaine en juin, je souhaiterais que tu m’aides à repeindre les chambres.
Dis-moi ce que tu en penses.
À très bientôt,
Haoyan"
1,a,18,"Bonjour Mathieu,
J’espère que vous allez bien ! Je réponds à votre annonce pour l’achat d’un vélo.
Je vends un vélo de ville de marque Giant, couleur bleu foncé. Il est en bon état, presque neuf. Je l’ai utilisé pendant six mois. Je souhaiterais le laisser à 80 euros.
Je peux vous proposer un rendez-vous pour un essai ce samedi, devant la station de métro Yonge. Si vous êtes intéressé(e), n’hésitez pas à me contacter !
Cordialement,
Haoyan"
1,a,19,"Cher Thomas,
Le Nouvel An chinois (Fête du Printemps), célébré fin janvier ou début février, est la fête la plus importante chez moi. Les familles se réunissent pour dîner, nettoient la maison, décorent en rouge et offrent des enveloppes rouges aux enfants. On regarde le gala, puis on assiste aux feux d’artifice et aux danses du lion. On mange des raviolis, du poisson et des gâteaux de riz, symboles de chance et de prospérité.
À bientôt,
Haoyan"
1,a,20,"Cher Cédric,
Je t’écris afin de te donner des instructions pour que tu puisses mieux prendre soin de ma maison pendant mon absence. Je m’absenterai pour un voyage dès la semaine prochaine et je reviendrai au bout de trois semaines.
D’abord, je souhaiterais que tu passes chez moi au moins deux fois par semaine. Ensuite, j’aurais besoin que tu arroses les fleurs dans mon jardin chaque samedi. Enfin, il serait préférable de nettoyer la maison une fois par semaine.
J’écrirai les autres détails sur une feuille et je la déposerai sur la table, à côté des clés. En cas d’urgence, comme une fuite d’eau, appelle ma mère au 000-000-0000 : elle pourra t’aider.
Merci d’avance.
Haoyan"
1,a,21,"À l’attention du service client,
Je vous contacte à la suite de problèmes rencontrés lors de mon dernier achat sur votre site web, le 30 mai.
Je suis profondément déçu par le service fourni, notamment concernant le point suivant : à l’ouverture du colis, l’un des articles en porcelaine commandés était cassé, comme en attestent les photos jointes à ce message.
En conséquence, je demande un remboursement partiel des frais engagés, selon votre procédure, et vous remercie de bien vouloir traiter ma demande dans les plus brefs délais.
Je reste à votre disposition pour tout complément d’information.
Meilleures salutations,
Haoyan"
