tache,kind,idx,text
1,a,1,Une publicité à faible coût
1,a,2,Pour s’installer dans un local plus vaste
1,a,3,Acheter du matériel
1,a,4,Marrakech
1,a,5,Il fait observer la nature de façon différente
1,a,6,On les a attrapés et emmenés ailleurs
1,a,7,L’enseignement est d’un bon niveau
1,a,8,Le rôle est peu valorisé
1,a,9,Elle peut perdre son statut de langue dominante
1,a,10,Pour un réveillon
1,a,11,D’argent pour la course
1,a,12,De poser leurs jours de vacances
1,a,13,Donner des conseils pour arrêter de recevoir des publicités
1,a,14,Il permettra d’éviter les embouteillages en ville
1,a,15,Pour respecter des normes d’hygiène
1,a,16,Pratiquer la course à pied plusieurs fois par semaine
1,a,17,Rencontrer les candidats sans rien savoir d’eux
1,a,18,De pratiquer un sport
1,a,19,Dialoguer avec le personnel enseignant
1,a,20,De manger quotidiennement du chocolat
1,a,21,Elles habitent dans le même pays
1,a,22,La nécessité de s’exiler pour pouvoir travailler
1,a,23,De permettre aux enfants de faire leur travail du soir en classe
1,a,24,D’encourager les personnes handicapées à faire du sport
1,a,25,Leur curiosité
1,a,26,Une méthode pour choisir une formation.
1,a,27,Téléphoner à l’entreprise
1,a,28,S’informer sur le monde professionnel
1,a,29,S’aventurent dans les pays lointains
1,a,30,Elles ont besoin d'accompagnement
1,a,31,En France
1,a,32,Leur curiosité
1,a,33,De les utiliser comme monnaie
1,a,34,Faire la preuve de son désir de travailler
1,a,35,En achetant les billets en avance
1,a,36,Tenter une nouvelle aventure
1,a,37,Un voyage en train couchettes
1,a,38,De pratiquer leur sport différemment
1,a,39,Un candidat à des études supérieures
1,a,40,Assister à des spectacles
1,a,41,Il faut se remettre à bouger de façon régulière
1,a,42,Des vêtements en tissus non traités
1,a,43,Ils permettent un contact direct avec un écran tactile
1,a,44,Faire de ces boîtiers des moments de partage
1,a,45,Un service de prêt à domicile
1,a,46,Pour prévenir leurs voisins de leur fête
1,a,47,De voir Lyon d’une façon différente
1,a,48,L’anniversaire d’un magasin
1,a,49,Annoncer la sortie d’un roman
1,a,50,Une familiarisation avec les codes socio professionnels français
1,a,51,Une victoire de Brice Leverdez
1,a,52,Pratiquer la course à pied plusieurs fois par semaine
