tache,kind,idx,text
4,a,1,Le dispositif fonctionne bien tel qu’il est.
4,a,2,La relation liant Camille Claudel et Rodin.
4,a,3,Elles exigent des garanties réelles et tangibles.
4,a,4,Les sociétés de production en exagèrent la rentabilité.
4,a,5,Ses spectacles sont donnés dans des sites insolites.
4,a,6,D’attendre que le temps ait fait son œuvre.
4,a,7,De la tranquillité et de l’intimité.
4,a,8,L’absence de temps morts.
4,a,9,Une école de danse pluridisciplinaire.
4,a,10,De la mise en vente libre de jouets sans contrôle sanitaire.
4,a,11,Elle fait ressurgir des rivalités ou des antagonismes oubliés.
4,a,12,L’accès au bonheur nécessite du travail.
4,a,13,De sa propre personnalité.
4,a,14,Qu’ils soient détournés de leur objectif.
4,a,15,Maintenir des tarifs compétitifs.
4,a,16,Elle tend à devenir une forme d’expression spécifique.
4,a,17,L’intérêt principal de sa mise en place a disparu.
4,a,18,Les réhabilitations ont une portée limitée.
4,a,19,La réalisation de soi par le travail est devenue une obligation.
4,a,20,Ils assurent les travaux fastidieux.
4,a,21,"Quelle que soit la nature du litige, le médiateur n’a qu’un pouvoir consultatif."
4,a,22,Leur substituer des créations contemporaines.
4,a,23,La fragilité de l’engagement.
4,a,24,Leur conception doit s’affranchir des modes du passé.
4,a,25,Sur des considérations morales.
4,a,26,Comme un prétexte pour éviter de traiter les questions significatives.
4,a,27,En regroupant les toiles autour d’un même sujet.
4,a,28,Favoriser la visibilité des ouvrages peu accessibles.
4,a,29,Ils répondent à des critères insuffisamment exigeants.
4,a,30,Le scénario manque de singularité.
4,a,31,Elles stimulent leurs facultés cérébrales.
4,a,32,Une plus grande équité entre les candidats.
4,a,33,Un souhait de ses parents qu’il a assumé.
4,a,34,Constituer un atlas mondial électronique.
4,a,35,La dégradation d’un site naturel rare.
4,a,36,Mettre en place toutes les infrastructures d’accueil.
4,a,37,Les acheteurs.
4,a,38,Pour pouvoir rembourser son emprunt.
4,a,39,Le processus d’attractivité des cellules femelles.
4,a,40,C’est un thème controversé.
4,a,41,Il considère que la médecine a du mal à tout expliquer.
4,a,42,Le consensus à ce sujet semble impossible.
4,a,43,Il stimule la créativité.
4,a,44,D’affiner l’écoute entre musiciens.
4,a,45,Elles entrainent des dépendances maladives.
4,a,46,Il doute de l’intérêt d’un diagnostic préalable.
4,a,47,Sur l’étroite collaboration avec les équipes locales.
4,a,48,Sa mise en page est comparable à celle du livret d’un disque.
4,a,49,Une législation dans le respect de la singularité des États.
4,a,50,Il concevait des histoires originales.
4,a,51,Elles tiennent compte de l’avis des médecins.
4,a,52,II propose des prestations qui contribuent au développement humanitaire.
4,a,53,La France n’est pas le pays européen le plus frappé par le chômage.
4,a,54,Se montrer chaleureux.
4,a,55,D’enrichir leurs échanges internes.
4,a,56,lls permettent d’apprendre de façon ludique.
4,a,57,Il valorise les méthodes traditionnelles.
4,a,58,À l’occasion d’une entrevue.
4,a,59,Expliquer l’intérêt de renseigner un document.
4,a,60,De voiliers destinés à des particuliers.
4,a,61,Devenir plus attrayantes aux yeux des étrangers.
4,a,62,Ils s’en remettent trop à l’autorité du praticien.
4,a,63,Les génériques parce qu’ils compensent le coût élevé des nouveaux médicaments.
4,a,64,Elle déplore le manque de structures pour accueillir et réunir les jeunes.
4,a,65,Pour rechercher des collaborateurs.
4,a,66,"Appliquée seule, elle est contre-productive."
4,a,67,Elle met en danger le marché du travail.
4,a,68,Il est le propre des êtres humains.
4,a,69,Un mode de consommation durable.
4,a,70,L’absence de consultation des futurs occupants.
4,a,71,Ils s’appuient sur des théories éducatives.
4,a,72,L’absence d’éthique de certains produits.
4,a,73,L’effervescence continuelle
4,a,74,"Moins de travail physique, plus de stress explique le malaise."
4,a,75,Un désir de changement face à l’immobilisme des élus.
4,a,76,Par le côté imprévisible des mélodies qu’il invente.
4,a,77,La place de l’être humain dans la nature.
4,a,78,Encadrer les projets locaux pour créer des activités économiques.
4,a,79,D’un citadin original.
4,a,80,Elle est encadrée par des normes strictes.
4,a,81,Ses effets sur l’environnement.
4,a,82,La conception de logements dans un bâtiment préexistant.
4,a,83,Les produits sont acheminés de manière optimale.
4,a,84,Ils doivent se montrer dégourdis.
4,a,85,Il favorise l’implication des apprenants.
