tache,kind,idx,text
2,q,1,"J’aimerais avoir des détails sur… À ce sujet, j’aimerais vous poser quelques questions, si vous êtes disponible."
2,q,2,"J’ai entendu parler de… et j’aimerais bien te poser quelques questions à ce sujet, si tu es disponible."
2,q,3,"Ah, super idée ! Ça me tente bien."
2,q,4,J’aime bien l’idée.
2,q,5,Ça a l’air bien.
2,q,6,Ça semble intéressant.
2,q,7,C’est intéressant.
2,q,8,C’est top !
2,q,9,C’est génial !
2,q,10,"Ah, d’accord. Je connais cet endroit."
2,q,11,"Ah, je vois !"
2,q,12,Ça semble clair.
2,q,13,Génial ! J’adore la pop.
2,q,14,"Parfait, je suis libre samedi soir."
2,q,15,"Super, je vais regarder ça tout à l’heure."
2,q,16,C’est pratique !
2,q,17,Ça donne envie !
2,q,18,Ça a l’air sympa.
2,q,19,J’ai hâte !
2,q,20,Ça va être une super soirée.
2,q,21,"Et puis, pourriez-vous me dire … ?"
2,q,22,J’aimerais aussi savoir …
2,q,23,"Concernant …, j’ai une autre question."
2,q,24,"Et pour compléter, pouvez-vous m’expliquer … ?"
2,q,25,"Ah, je vois. Et concernant la durée, j’ai une autre question : est-ce que la soirée se prolongera tard ?"
2,q,26,Génial ! Ça m’aide beaucoup. J’ai encore une question. Et quels sont les tarifs pour les participants ?
2,q,27,"Et puis, pourriez-vous me dire quels sont les dates disponibles?"
2,q,28,"Très bien. Et pour compléter, j’aimerais aussi savoir le processus d’inscription. Pouvez-vous m’expliquer quelles sont les informations à fournir ?"
2,q,29,"Ah, c’est parfait. Est-il possible de faire un cours d’essai gratuit ?"
2,q,30,C’est intéressant. Et quels sont les tarifs pour les cours individuels comparés aux cours collectifs ?
2,q,31,Je te remercie pour tes réponses. Elles m’ont beaucoup aidé ! À bientôt si j’ai d’autres besoins.
2,q,32,Quels types sont disponibles ?
2,q,33,Quels types de véhicules proposez-vous ?
2,q,34,Lequel est le plus économique / pratique ?
2,q,35,Quel est le meilleur moyen de transport ?
2,q,36,Est-ce que vous avez des destinations populaires pour cette saison ?
2,q,37,Y a-t-il d'autres pays disponibles au choix ?
2,q,38,Quel type de travail est le plus demandé ?
2,q,39,Quel type de travail offre le salaire le plus bas / le plus élevé ?
2,q,40,Y a-t-il de bons restaurants chinois ou occidentaux ?
2,q,41,Y a-t-il des restaurants plus économiques / haut de gamme ?
2,q,42,Quel genre enseignez-vous ?
2,q,43,Quel genre de musique sera joué au festival ?
2,q,44,Quel genre de spectacle allons-nous voir ?
2,q,45,Quel film recommandes-tu ?
2,q,46,Quel film tu aimes le plus ?
2,q,47,"Chaque genre a son charme unique, et tu peux expliquer pourquoi tu aimes ce type de film ?"
2,q,48,Y a-t-il un genre que tu n’aimes pas du tout ?
2,q,49,Pouvez-vous recommander des films adaptés à toute la famille ?
2,q,50,Quel est le film qui t’a le plus touché ?
2,q,51,Préfères-tu les films anciens ou les nouveaux films ?
2,q,52,Quels sont les contenus des cours ?
2,q,53,Puis-je personnaliser les contenus des cours ?
2,q,54,Peut-on apprendre des chansons spécifiques pendant les cours ?
2,q,55,Quel est ton travail actuel ?
2,q,56,Quelle est votre mission principale ?
2,q,57,Comment s’est passé ton premier jour de travail ?
